test,success rate,average time,average fun. evals.,failures
ackley,1.0,0.194898710251,11623.44,0
cigar,0.0,0.00147304058075,94.5,100
sphere,0.0,0.000546500682831,40.2,100
bohachevsky,0.83,0.109870820045,5343.39,17
griewank,0.0,0.153827359676,7902.36,0
h1,0.0,0.0052655005455,319.51,98
himmelblau,0.0,0.00205492973328,134.3,100
rastrigin,0.33,0.13143433094,7581.62,1
rosenbrock,0.04,0.146547930241,8000.58,96
schaffer,0.02,0.0751139187813,3601.71,6
schwefel,0.06,0.101277971268,5025.81,1
AVERAGE,0.207272727273,0.0838464557041,4515.22,47.1818181818
